"PSU_ID","component_tracts","n_tracts","NAME","TotHH","TotPerson","TotAdult18plus","n_BG","Q1_18_34","Q2_35_49","Q3_50_64","Q4_65plus","Si","pi1","w1_base"
"26163538800_26163538900","26163538800,26163538900",2,"Census Tract 5388; Wayne County; Michigan | Census Tract 5389; Wayne County; Michigan",2296,5014,4005,3,1148,841,1003,1013,17.9058516146965,0.332443014393571,3.00803432980585
"26163539000","26163539000",1,"Census Tract 5390; Wayne County; Michigan",1217,2769,2061,2,608,524,529,400,9.26096592336875,0.171940631141717,5.81596097071307
"26163539100_26163539200","26163539100,26163539200",2,"Census Tract 5391; Wayne County; Michigan | Census Tract 5392; Wayne County; Michigan",3117,6651,5270,4,1367,1166,1413,1324,23.5734015167171,0.437667686986484,2.28483854242335
"26163539300","26163539300",1,"Census Tract 5393; Wayne County; Michigan",1586,3793,2945,2,788,700,771,686,13.2021974520269,0.245114190154946,4.07973116271996
"26163539400","26163539400",1,"Census Tract 5394; Wayne County; Michigan",1434,3707,2819,3,838,630,663,688,12.6304306302459,0.234498672398332,4.26441646672245
"26163539500","26163539500",1,"Census Tract 5395; Wayne County; Michigan",1355,2921,2379,3,519,516,563,781,10.6422700954828,0.197586153770483,5.06108338523359
"26163539600","26163539600",1,"Census Tract 5396; Wayne County; Michigan",1317,3197,2439,2,720,564,614,541,10.9319318479719,0.202964061966313,4.92698062066759
"26163539700_26163540100","26163539700,26163540100",2,"Census Tract 5397; Wayne County; Michigan | Census Tract 5401; Wayne County; Michigan",2417,5273,4036,4,1169,876,1006,985,18.0604704952677,0.335313694205139,2.98228201615952
"26163540200","26163540200",1,"Census Tract 5402; Wayne County; Michigan",1476,3183,2322,3,826,524,588,384,10.4063605875771,0.193206218673293,5.17581683895472
"26163540300","26163540300",1,"Census Tract 5403; Wayne County; Michigan",1608,3746,2770,3,883,614,642,631,12.4121310655912,0.230445686431719,4.33941730689024
"26163540400","26163540400",1,"Census Tract 5404; Wayne County; Michigan",1252,2632,2026,2,588,458,543,437,9.07036226288347,0.168401851930894,5.93817697688006
"26163540500","26163540500",1,"Census Tract 5405; Wayne County; Michigan",1389,3466,2563,3,748,660,610,545,11.527274912316,0.214017300157253,4.67251946111474
"26163540600","26163540600",1,"Census Tract 5406; Wayne County; Michigan",1371,3274,2416,2,720,584,560,552,10.8489700375125,0.201423779217292,4.9646571218447
"26163540700","26163540700",1,"Census Tract 5407; Wayne County; Michigan",1313,3193,2400,3,776,607,556,461,10.7937800350319,0.200399112466787,4.99004206002028
"26163540800","26163540800",1,"Census Tract 5408; Wayne County; Michigan",920,2110,1627,2,464,414,389,360,7.31424806703048,0.135797544163173,7.36390342080422
"26163540900","26163540900",1,"Census Tract 5409; Wayne County; Michigan",1439,3420,2641,3,729,600,642,670,11.832709879258,0.219688056471801,4.55190881133932
"26163541000","26163541000",1,"Census Tract 5410; Wayne County; Michigan",1732,3775,2729,3,867,635,641,586,12.242790916251,0.227301689099678,4.3994393704724
"26163541100","26163541100",1,"Census Tract 5411; Wayne County; Michigan",1238,2921,2066,2,736,539,475,316,9.30365901061878,0.172733278088904,5.7892724034642
"26163541200","26163541200",1,"Census Tract 5412; Wayne County; Michigan",1124,2046,1563,2,535,356,441,231,6.99937307769981,0.129951522825416,7.69517723423263
"26163541300","26163541300",1,"Census Tract 5413; Wayne County; Michigan",1119,2664,1920,2,710,540,463,207,8.66470280042346,0.16087031099001,6.21618739869347
"26163541400","26163541400",1,"Census Tract 5414; Wayne County; Michigan",1185,2642,2025,3,603,448,582,392,9.05604066086642,0.168135954689705,5.94756785867426
"26163541500","26163541500",1,"Census Tract 5415; Wayne County; Michigan",1794,3625,2897,2,795,621,768,713,12.9513406381681,0.240456740893391,4.15875219918814
"26163541700","26163541700",1,"Census Tract 5417; Wayne County; Michigan",1524,2538,2054,3,635,485,489,445,9.21663871172927,0.171117644769765,5.84393270106935
"26163541800","26163541800",1,"Census Tract 5418; Wayne County; Michigan",1267,2533,1966,2,587,481,510,388,8.82383183760236,0.163824727118081,6.10408463723077
"26163542100","26163542100",1,"Census Tract 5421; Wayne County; Michigan",1957,4547,3419,2,985,884,804,746,15.3798444480609,0.285544745887489,3.50207809599838
"26163542200","26163542200",1,"Census Tract 5422; Wayne County; Michigan",1637,3644,2755,2,811,665,619,660,12.3730125827777,0.229719406184073,4.35313679680464
"26163542300","26163542300",1,"Census Tract 5423; Wayne County; Michigan",1046,2255,1740,2,578,435,429,298,7.81994102319998,0.1451863235591,6.88770109667347
"26163542400","26163542400",1,"Census Tract 5424; Wayne County; Michigan",1112,2651,1923,2,644,510,390,379,8.66943936731249,0.160958250877391,6.21279117130653
"26163542500","26163542500",1,"Census Tract 5425; Wayne County; Michigan",1032,2475,1972,2,571,442,493,466,8.83146832448974,0.163966507401691,6.09880649314658
"26163542600","26163542600",1,"Census Tract 5426; Wayne County; Michigan",1376,3168,2343,2,744,585,521,493,10.5358954138458,0.195611183767406,5.11218213979557
"26163542900","26163542900",1,"Census Tract 5429; Wayne County; Michigan",1362,3319,2682,3,717,609,683,673,12.0109598558683,0.222997475136438,4.48435570576825
"26163543000","26163543000",1,"Census Tract 5430; Wayne County; Michigan",709,1778,1413,2,349,311,343,410,6.32387147128314,0.117410047831814,8.51715861177799
"26163543100","26163543100",1,"Census Tract 5431; Wayne County; Michigan",966,2455,1915,2,487,427,489,512,8.57071657482056,0.159125347118799,6.28435392667783
"26163543200","26163543200",1,"Census Tract 5432; Wayne County; Michigan",1187,3008,2291,3,739,587,524,441,10.3083595814174,0.1913867157196,5.22502304425924
"26163543300","26163543300",1,"Census Tract 5433; Wayne County; Michigan",1412,3315,2516,4,753,600,592,571,11.292681434465,0.209661798692588,4.76958609644586
"26163543400","26163543400",1,"Census Tract 5434; Wayne County; Michigan",1386,3132,2344,3,711,591,588,454,10.5327486906047,0.195552761181191,5.11370943554943
"26163543500_26163543700","26163543500,26163543700",2,"Census Tract 5435; Wayne County; Michigan | Census Tract 5437; Wayne County; Michigan",1245,2995,1979,3,760,541,457,221,8.92684042315797,0.16573720162236,6.03364839161786
"26163543900_26163544100","26163543900,26163544100",2,"Census Tract 5439; Wayne County; Michigan | Census Tract 5441; Wayne County; Michigan",1546,3007,2221,3,849,562,543,267,9.99060449710272,0.185487222060122,5.39120694618991
"26163544000_26163544200","26163544000,26163544200",2,"Census Tract 5440; Wayne County; Michigan | Census Tract 5442; Wayne County; Michigan",2353,4539,3473,3,1134,784,934,621,15.5529696087142,0.28875901636808,3.46309532626092
"26163544300","26163544300",1,"Census Tract 5443; Wayne County; Michigan",1320,2428,1795,2,561,490,496,248,8.07972836082735,0.15000957840788,6.66624098683202
"26163544800","26163544800",1,"Census Tract 5448; Wayne County; Michigan",886,1775,1289,2,423,372,334,160,5.81651180671537,0.107990324051003,9.26008889025746
"26163545100","26163545100",1,"Census Tract 5451; Wayne County; Michigan",530,1026,753,2,246,196,181,130,3.38864759413184,0.062914193926755,15.8946644244414
"26163545200","26163545200",1,"Census Tract 5452; Wayne County; Michigan",1234,2641,1900,4,620,537,396,347,8.58082088785712,0.159312945472485,6.27695380958676
"26163545500","26163545500",1,"Census Tract 5455; Wayne County; Michigan",1543,3878,2590,3,993,716,576,305,11.69005586875,0.217039518424624,4.6074558553137
"26163545600","26163545600",1,"Census Tract 5456; Wayne County; Michigan",1684,5319,3326,3,1384,900,706,336,15.0112095328355,0.278700608838589,3.58807971093868
"26163545700","26163545700",1,"Census Tract 5457; Wayne County; Michigan",1106,2925,1987,2,751,584,428,224,8.98792043319221,0.166871223231157,5.99264499077086
"26163545800","26163545800",1,"Census Tract 5458; Wayne County; Michigan",1859,5518,3508,3,1405,1084,698,321,15.9068992827866,0.295330133467888,3.38604120161254
"26163545900","26163545900",1,"Census Tract 5459; Wayne County; Michigan",1637,3758,2530,2,1018,681,592,239,11.4076762952441,0.211796812373022,4.72150637583144
"26163546000","26163546000",1,"Census Tract 5460; Wayne County; Michigan",1464,2925,2008,2,748,554,450,256,9.06118589029898,0.168231481873729,5.94419064055193
"26163985300_26163546100","26163546100,26163985300",2,"Census Tract 5461; Wayne County; Michigan | Census Tract 9853; Wayne County; Michigan",1872,4172,2853,3,1141,737,677,298,12.84635248881,0.238507513478841,4.19274003327663
"26163985200_26163546201","26163546201,26163985200",2,"Census Tract 5462.01; Wayne County; Michigan | Census Tract 9852; Wayne County; Michigan",1246,3070,2215,3,773,645,541,256,10.0045436279998,0.185746018278987,5.38369548518677
"26163546301_26163546600","26163546301,26163546600",2,"Census Tract 5463.01; Wayne County; Michigan | Census Tract 5466; Wayne County; Michigan",1593,3788,2741,3,933,694,720,394,12.3180904637814,0.228699713002821,4.37254593313662
"26163985100_26163546700","26163546700,26163985100",2,"Census Tract 5467; Wayne County; Michigan | Census Tract 9851; Wayne County; Michigan",1426,2970,2227,3,799,514,545,369,9.98946787943633,0.185466119427789,5.39182036635725
"26163985000_26163547000","26163547000,26163985000",2,"Census Tract 5470; Wayne County; Michigan | Census Tract 9850; Wayne County; Michigan",1738,3531,2602,5,761,597,682,562,11.6560522606166,0.216408201789628,4.62089695182674
"26163984100_26163547100","26163547100,26163984100",2,"Census Tract 5471; Wayne County; Michigan | Census Tract 9841; Wayne County; Michigan",2185,4718,3314,5,1222,828,770,494,14.9052910181155,0.276734108106243,3.61357697048346
"26163983600_26163547200","26163547200,26163983600",2,"Census Tract 5472; Wayne County; Michigan | Census Tract 9836; Wayne County; Michigan",1740,3991,2762,7,984,620,638,520,12.3850933545113,0.229943699798125,4.34889062356539
